"Muni_ID","ID","Muni","X2009"
1601,"1111601","Arcos de Valdevez",0.0106
1602,"1111602","Caminha",0.0138
1603,"1111603","Melgaço",0.0033
1604,"1111604","Monção",0.0013
1605,"1111605","Paredes de Coura",0.0155
1606,"1111606","Ponte da Barca",0.0148
1607,"1111607","Ponte de Lima",0.0134
1608,"1111608","Valença",0.0103
1609,"1111609","Viana do Castelo",0.006
1610,"1111610","Vila Nova de Cerveira",0.0164
301,"1120301","Amares",0.0052
302,"1120302","Barcelos",0.009
303,"1120303","Braga",0.0107
306,"1120306","Esposende",0.0026
310,"1120310","Terras de Bouro",0.0406
313,"1120313","Vila Verde",0.0245
307,"1130307","Fafe",0.0744
308,"1130308","Guimarães",0.0176
309,"1130309","Póvoa de Lanhoso",0.0312
1314,"1131314","Santo Tirso",8e-04
1318,"1131318","Trofa",0.0132
311,"1130311","Vieira do Minho",0.005
312,"1130312","Vila Nova de Famalicão",0.0083
314,"1130314","Vizela",0
107,"1140107","Espinho",0
1304,"1141304","Gondomar",0.0106
1306,"1141306","Maia",0.0019
1308,"1141308","Matosinhos",0.0038
1312,"1141312","Porto",0.0351
1313,"1141313","Póvoa de Varzim",0.0025
1315,"1141315","Valongo",0.0484
1316,"1141316","Vila do Conde",0.003
1317,"1141317","Vila Nova de Gaia",0.0157
1301,"1151301","Amarante",0.0103
1302,"1151302","Baião",0.0432
304,"1150304","Cabeceiras de Basto",0.0047
106,"1150106","Castelo de Paiva",0.0085
305,"1150305","Celorico de Basto",0.0584
1804,"1151804","Cinfães",0.0046
1303,"1151303","Felgueiras",0.013
1305,"1151305","Lousada",0.0046
1307,"1151307","Marco de Canaveses",0.0148
1705,"1151705","Mondim de Basto",0.0076
1309,"1151309","Paços de Ferreira",0.0653
1310,"1151310","Paredes",0.0309
1311,"1151311","Penafiel",0.0039
1813,"1151813","Resende",0.0171
1709,"1151709","Ribeira de Pena",0.0085
104,"1160104","Arouca",0.0128
113,"1160113","Oliveira de Azeméis",0.0049
109,"1160109","Santa Maria da Feira",0.0013
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",0.0224
1701,"1171701","Alijó",0
1801,"1171801","Armamar",8e-04
403,"1170403","Carrazeda de Ansiães",0
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",0
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",0.0877
1812,"1171812","Penedono",0.0028
1708,"1171708","Peso da Régua",0
1710,"1171710","Sabrosa",0
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",0.0514
1818,"1171818","Sernancelhe",0.0066
1819,"1171819","Tabuaço",0
1820,"1171820","Tarouca",0.0034
409,"1170409","Torre de Moncorvo",0.0016
410,"1170410","Vila Flor",0
914,"1170914","Vila Nova de Foz Côa",0
1714,"1171714","Vila Real",0.0227
401,"1180401","Alfândega da Fé",0
1702,"1181702","Boticas",0.0029
402,"1180402","Bragança",0.0018
1703,"1181703","Chaves",0.0124
405,"1180405","Macedo de Cavaleiros",0.0072
406,"1180406","Miranda do Douro",0
407,"1180407","Mirandela",0.0045
408,"1180408","Mogadouro",0.057
1706,"1181706","Montalegre",2e-04
1707,"1181707","Murça",0
1712,"1181712","Valpaços",0.0039
1713,"1181713","Vila Pouca de Aguiar",0.0136
411,"1180411","Vimioso",0.0085
412,"1180412","Vinhais",4e-04
101,"1610101","Águeda",0.0022
102,"1610102","Albergaria-a-Velha",0.0029
103,"1610103","Anadia",0.0124
105,"1610105","Aveiro",0.0022
108,"1610108","Estarreja",0.0011
110,"1610110","Ílhavo",0.0165
111,"1610111","Mealhada",0.0071
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",0
115,"1610115","Ovar",0.0109
117,"1610117","Sever do Vouga",0.0027
118,"1610118","Vagos",0.024
602,"1620602","Cantanhede",0.0024
603,"1620603","Coimbra",0.0018
604,"1620604","Condeixa-a-Nova",0.0104
605,"1620605","Figueira da Foz",0.0022
608,"1620608","Mira",0
610,"1620610","Montemor-o-Velho",0.004
613,"1620613","Penacova",0.0118
615,"1620615","Soure",0.0045
1004,"1631004","Batalha",0
1009,"1631009","Leiria",0.0112
1010,"1631010","Marinha Grande",0.0488
1015,"1631015","Pombal",0.0069
1016,"1631016","Porto de Mós",0
1002,"1641002","Alvaiázere",0
1003,"1641003","Ansião",0
601,"1640601","Arganil",0.0042
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",0
606,"1640606","Góis",0
607,"1640607","Lousã",0
609,"1640609","Miranda do Corvo",0.0105
611,"1640611","Oliveira do Hospital",0.0371
612,"1640612","Pampilhosa da Serra",0
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",0.3036
616,"1640616","Tábua",0.0104
617,"1640617","Vila Nova de Poiares",0
901,"1650901","Aguiar da Beira",0.017
1802,"1651802","Carregal do Sal",0.0293
1803,"1651803","Castro Daire",0.0602
1806,"1651806","Mangualde",0.0059
1808,"1651808","Mortágua",0.0135
1809,"1651809","Nelas",0.0156
1810,"1651810","Oliveira de Frades",0.0575
1811,"1651811","Penalva do Castelo",0.0104
1814,"1651814","Santa Comba Dão",0.0094
1816,"1651816","São Pedro do Sul",0.0254
1817,"1651817","Sátão",0.0106
1821,"1651821","Tondela",0.0317
1822,"1651822","Vila Nova de Paiva",0.0921
1823,"1651823","Viseu",0.0141
1824,"1651824","Vouzela",0.0317
1413,"1661413","Mação",0
506,"1660506","Oleiros",0.0109
508,"1660508","Proença-a-Nova",0
509,"1660509","Sertã",0
510,"1660510","Vila de Rei",0
905,"1670905","Fornos de Algodres",0
906,"1670906","Gouveia",0.0316
912,"1670912","Seia",0.0795
902,"1680902","Almeida",0.012
903,"1680903","Celorico da Beira",0.1092
904,"1680904","Figueira de Castelo Rodrigo",0.0257
907,"1680907","Guarda",0.0102
908,"1680908","Manteigas",0.0501
909,"1680909","Mêda",0.0057
910,"1680910","Pinhel",0.0049
911,"1680911","Sabugal",0.0234
913,"1680913","Trancoso",0.0044
502,"1690502","Castelo Branco",0.0849
505,"1690505","Idanha-a-Nova",0.0277
507,"1690507","Penamacor",0.0342
511,"1690511","Vila Velha de Ródão",0.113
501,"16A0501","Belmonte",0.0101
503,"16A0503","Covilhã",0.0238
504,"16A0504","Fundão",0.0442
1001,"16B1001","Alcobaça",7e-04
1101,"16B1101","Alenquer",0.0014
1102,"16B1102","Arruda dos Vinhos",0
1005,"16B1005","Bombarral",0
1104,"16B1104","Cadaval",0
1006,"16B1006","Caldas da Rainha",0
1108,"16B1108","Lourinhã",0
1011,"16B1011","Nazaré",0.1271
1012,"16B1012","Óbidos",0.0093
1014,"16B1014","Peniche",0
1112,"16B1112","Sobral de Monte Agraço",0.0194
1113,"16B1113","Torres Vedras",0.0019
1401,"16C1401","Abrantes",0.0441
1402,"16C1402","Alcanena",0.2208
1408,"16C1408","Constância",0.0081
1410,"16C1410","Entroncamento",0
1411,"16C1411","Ferreira do Zêzere",0
1421,"16C1421","Ourém",0.0188
1417,"16C1417","Sardoal",0
1418,"16C1418","Tomar",0.016
1419,"16C1419","Torres Novas",6e-04
1420,"16C1420","Vila Nova da Barquinha",0.0122
1115,"1711115","Amadora",0
1105,"1711105","Cascais",0
1106,"1711106","Lisboa",0
1107,"1711107","Loures",9e-04
1109,"1711109","Mafra",0.0014
1116,"1711116","Odivelas",0
1110,"1711110","Oeiras",0
1111,"1711111","Sintra",0.0035
1114,"1711114","Vila Franca de Xira",0.034
1502,"1721502","Alcochete",0
1503,"1721503","Almada",0.0162
1504,"1721504","Barreiro",0
1506,"1721506","Moita",0.0158
1507,"1721507","Montijo",0.042
1508,"1721508","Palmela",0.006
1510,"1721510","Seixal",0
1511,"1721511","Sesimbra",0.0064
1512,"1721512","Setúbal",0.0089
1501,"1811501","Alcácer do Sal",0.0102
1505,"1811505","Grândola",0.0511
211,"1810211","Odemira",0.0652
1509,"1811509","Santiago do Cacém",0.0048
1513,"1811513","Sines",0
