Main_animals,Animals,Litsize,Unit,Source
Bovine,Male_calf_2,,,
Bovine,Male_calf_1-2,,,
Bovine,Non_dairy,,,
Bovine,Other_calf,,,
Bovine,Beef_calf,,,
Bovine,Dairy_cows,,,
Bovine,Female_calf_2,,,
Bovine,Female_calf_1-2,,,
Bovine,Female_calf-1,,,
Equides,Horses,,,
Equides,Other_equidae,,,
Goats,Goats,1.8,No lambs head-1,GLEAMS
Goats,Doeling,0,,
Goats,Buck,0,,
Sheep,Ewes_dairy,1.5,No lambs head-1,GLEAMs
Sheep,Ewes_other,0,,
Sheep,Ram,0,,
Rabbits,Rabbits,,,
Pigs,Pregnant_sows,,,
Pigs,Other_swine,,,
Pigs,Pigs_50,,,
Pigs,Pigs_20,,,
Pigs,Non_pregnant_sows,,,
Poultry,Broilers,,,
Poultry,Ducks,,,
Poultry,Geese,,,
Poultry,Rep_hens,,,
Poultry,Turkeys,,,
Poultry,Laying_hens,,,
