Admin_name,Full_id,Admin_id,2009,1999,1989
Continente,1,1,167198,179227,148800
Norte,101,101,56154,50141,41185
Minho-Lima,10101,10101,8005,7751,6969
Arcos de Valdevez,101011601,011601,870,701,420
Aboim das Choças,10101160101,160101,19,15,16
Aguiã,10101160102,160102,14,12,6
Alvora,10101160103,160103,24,26,19
Ázere,10101160104,160104,9,6,5
Cabana Maior,10101160105,160105,0,4,2
Cabreiro,10101160106,160106,29,12,11
Carralcova,10101160107,160107,5,0,0
Cendufe,10101160108,160108,23,15,9
Couto,10101160109,160109,16,17,20
Eiras,10101160110,160110,10,6,7
Ermelo,10101160111,160111,1,4,2
Extremo,10101160112,160112,7,4,2
Gavieira,10101160113,160113,49,50,9
Giela,10101160114,160114,5,4,1
Gondoriz,10101160115,160115,36,28,17
Grade,10101160116,160116,14,6,9
Guilhadeses,10101160117,160117,20,21,16
Loureda,10101160118,160118,6,4,6
Jolda (Madalena),10101160119,160119,11,16,7
Mei,10101160120,160120,6,8,1
Miranda,10101160121,160121,17,11,5
Monte Redondo,10101160122,160122,13,13,7
Oliveira,10101160123,160123,18,10,7
Paçô,10101160124,160124,18,16,11
Padroso,10101160125,160125,24,28,23
Parada,10101160126,160126,5,6,2
Portela,10101160127,160127,25,20,10
Prozelo,10101160128,160128,22,23,13
Rio Cabrão,10101160129,160129,8,2,0
Rio Frio,10101160130,160130,27,13,8
Rio de Moinhos,10101160131,160131,16,15,3
Sá,10101160132,160132,10,6,5
Sabadim,10101160133,160133,25,16,6
Arcos de Valdevez (Salvador),10101160134,160134,0,2,4
Padreiro (Salvador),10101160135,160135,17,10,6
Padreiro (Santa Cristina),10101160136,160136,13,9,2
Távora (Santa Maria),10101160137,160137,40,35,24
Santar,10101160138,160138,7,4,4
São Cosme e São Damião,10101160139,160139,10,13,4
São Jorge,10101160140,160140,41,29,21
Arcos de Valdevez (São Paio),10101160141,160141,11,12,7
Jolda (São Paio),10101160142,160142,22,21,10
Távora (São Vicente),10101160143,160143,9,7,7
Senharei,10101160144,160144,8,8,2
Sistelo,10101160145,160145,28,17,4
Soajo,10101160146,160146,46,32,16
Souto,10101160147,160147,18,16,10
Tabaçô,10101160148,160148,7,5,4
