Admin_name,Full_id,Admin_id,2009,1999,1989
Continente,1,1,536127,787236,871590
Norte,101,101,141495,241406,325437
Minho-Lima,10101,10101,14893,25697,42300
Arcos de Valdevez,101011601,11601,3378,4733,7780
Aboim das Choças,10101160101,160101,68,53,140
Aguiã,10101160102,160102,67,78,79
Alvora,10101160103,160103,56,100,152
Ázere,10101160104,160104,47,56,135
Cabana Maior,10101160105,160105,20,83,145
Cabreiro,10101160106,160106,148,194,367
Carralcova,10101160107,160107,48,64,79
Cendufe,10101160108,160108,84,86,157
Couto,10101160109,160109,46,90,144
Eiras,10101160110,160110,41,68,143
Ermelo,10101160111,160111,5,9,64
Extremo,10101160112,160112,32,22,50
Gavieira,10101160113,160113,156,102,198
Giela,10101160114,160114,54,64,82
Gondoriz,10101160115,160115,155,265,272
Grade,10101160116,160116,82,121,123
Guilhadeses,10101160117,160117,37,92,146
Loureda,10101160118,160118,21,39,87
Jolda (Madalena),10101160119,160119,55,122,172
Mei,10101160120,160120,30,60,70
Miranda,10101160121,160121,141,159,298
Monte Redondo,10101160122,160122,68,86,175
Oliveira,10101160123,160123,54,57,85
Paçô,10101160124,160124,46,114,142
Padroso,10101160125,160125,64,67,130
Parada,10101160126,160126,22,37,44
Portela,10101160127,160127,51,74,131
Prozelo,10101160128,160128,87,122,223
Rio Cabrão,10101160129,160129,45,49,137
Rio Frio,10101160130,160130,205,278,459
Rio de Moinhos,10101160131,160131,78,108,206
Sá,10101160132,160132,35,56,96
Sabadim,10101160133,160133,97,141,207
Arcos de Valdevez (Salvador),10101160134,160134,0,2,7
Padreiro (Salvador),10101160135,160135,23,77,105
Padreiro (Santa Cristina),10101160136,160136,27,41,73
Távora (Santa Maria),10101160137,160137,93,167,244
Santar,10101160138,160138,28,35,49
São Cosme e São Damião,10101160139,160139,26,69,75
São Jorge,10101160140,160140,97,109,272
Arcos de Valdevez (São Paio),10101160141,160141,58,77,95
Jolda (São Paio),10101160142,160142,56,88,128
Távora (São Vicente),10101160143,160143,36,65,66
Senharei,10101160144,160144,90,108,149
Sistelo,10101160145,160145,144,234,192
Soajo,10101160146,160146,133,132,537
Souto,10101160147,160147,53,102,105
Tabaçô,10101160148,160148,28,37,42
Vale,10101160149,160149,157,143,344
Vila Fonche,10101160150,160150,13,32,56
Vilela,10101160151,160151,72,97,104
Caminha,101011602,11602,363,513,1240
Âncora,10101160201,160201,8,19,163
Arga de Baixo,10101160202,160202,13,36,37
Arga de Cima,10101160203,160203,14,21,23
Arga de São João,10101160204,160204,7,14,18
Argela,10101160205,160205,28,42,121
Azevedo,10101160206,160206,7,14,62
Caminha (Matriz),10101160207,160207,0,0,0
Cristelo,10101160208,160208,3,5,12
Dem,10101160209,160209,31,64,98
Gondar,10101160210,160210,50,45,117
Lanhelas,10101160211,160211,7,11,2
Moledo,10101160212,160212,2,11,29
Orbacém,10101160213,160213,32,36,49
Riba de Âncora,10101160214,160214,31,88,192
Seixas,10101160215,160215,14,10,8
Venade,10101160216,160216,36,34,113
Vila Praia de Âncora,10101160217,160217,16,20,41
Vilar de Mouros,10101160218,160218,47,20,38
Vilarelho,10101160219,160219,13,13,33
Vile,10101160220,160220,5,10,78
Melgaço,101011603,11603,1040,1906,3383
Alvaredo,10101160301,160301,115,126,138
Castro Laboreiro,10101160302,160302,131,215,341
Chaviães,10101160303,160303,28,46,96
Cousso,10101160304,160304,30,95,87
Cristoval,10101160305,160305,29,38,238
Cubalhão,10101160306,160306,27,121,214
Fiães,10101160307,160307,38,102,282
Gave,10101160308,160308,62,82,90
Lamas de Mouro,10101160309,160309,28,82,191
Paços,10101160310,160310,31,45,208
Paderne,10101160311,160311,142,237,631
Parada do Monte,10101160312,160312,70,293,109
Penso,10101160313,160313,84,85,136
Prado,10101160314,160314,47,52,80
Remoães,10101160315,160315,19,27,40
Roussas,10101160316,160316,67,75,268
São Paio,10101160317,160317,61,151,171
Vila,10101160318,160318,30,33,65
Monção,101011604,11604,2227,2878,5128
Abedim,10101160401,160401,43,100,146
Anhões,10101160402,160402,56,77,115
Badim,10101160403,160403,16,42,59
Barbeita,10101160404,160404,97,127,213
