Admin_name,Full_id,Admin_id,2009,1999,1989
Continente,1,1,149451,271719,450279
Norte,101,101,66030,106838,178857
Minho-Lima,10101,10101,10719,15854,26804
Arcos de Valdevez,101011601,011601,2078,3021,4468
Aboim das Choças,10101160101,160101,32,40,84
Aguiã,10101160102,160102,42,55,80
Alvora,10101160103,160103,43,66,82
Ázere,10101160104,160104,25,30,39
Cabana Maior,10101160105,160105,21,65,93
Cabreiro,10101160106,160106,108,134,213
Carralcova,10101160107,160107,26,44,56
Cendufe,10101160108,160108,43,53,80
Couto,10101160109,160109,27,63,86
Eiras,10101160110,160110,31,45,75
Ermelo,10101160111,160111,11,26,45
Extremo,10101160112,160112,21,24,40
Gavieira,10101160113,160113,78,92,136
Giela,10101160114,160114,22,26,28
Gondoriz,10101160115,160115,101,157,193
Grade,10101160116,160116,48,70,111
Guilhadeses,10101160117,160117,36,55,81
Loureda,10101160118,160118,16,32,56
Jolda (Madalena),10101160119,160119,30,52,75
Mei,10101160120,160120,14,27,31
Miranda,10101160121,160121,62,77,171
Monte Redondo,10101160122,160122,34,52,94
Oliveira,10101160123,160123,28,48,54
Paçô,10101160124,160124,30,35,57
Padroso,10101160125,160125,47,54,81
Parada,10101160126,160126,12,12,21
Portela,10101160127,160127,47,65,80
Prozelo,10101160128,160128,52,86,113
Rio Cabrão,10101160129,160129,24,25,52
Rio Frio,10101160130,160130,127,147,262
Rio de Moinhos,10101160131,160131,44,75,140
Sá,10101160132,160132,25,34,42
Sabadim,10101160133,160133,50,89,155
Arcos de Valdevez (Salvador),10101160134,160134,0,3,8
Padreiro (Salvador),10101160135,160135,27,37,62
Padreiro (Santa Cristina),10101160136,160136,16,24,55
Távora (Santa Maria),10101160137,160137,63,91,112
Santar,10101160138,160138,15,19,21
São Cosme e São Damião,10101160139,160139,12,37,41
São Jorge,10101160140,160140,66,94,130
Arcos de Valdevez (São Paio),10101160141,160141,18,34,42
Jolda (São Paio),10101160142,160142,31,45,65
Távora (São Vicente),10101160143,160143,29,44,69
Senharei,10101160144,160144,55,70,110
Sistelo,10101160145,160145,72,107,127
Soajo,10101160146,160146,125,215,288
Souto,10101160147,160147,34,49,62
Tabaçô,10101160148,160148,17,23,28
Vale,10101160149,160149,88,100,151
Vila Fonche,10101160150,160150,10,18,45
Vilela,10101160151,160151,43,56,46
Caminha,101011602,011602,344,470,919
Âncora,10101160201,160201,10,18,63
Arga de Baixo,10101160202,160202,15,32,44
Arga de Cima,10101160203,160203,14,22,27
Arga de São João,10101160204,160204,11,15,19
Argela,10101160205,160205,27,29,92
Azevedo,10101160206,160206,11,14,41
Caminha (Matriz),10101160207,160207,0,0,2
Cristelo,10101160208,160208,2,5,9
Dem,10101160209,160209,32,55,82
Gondar,10101160210,160210,47,43,54
Lanhelas,10101160211,160211,4,7,11
Moledo,10101160212,160212,4,13,33
Orbacém,10101160213,160213,30,34,48
Riba de Âncora,10101160214,160214,38,67,125
Seixas,10101160215,160215,3,8,15
Venade,10101160216,160216,39,39,97
Vila Praia de Âncora,10101160217,160217,16,21,41
Vilar de Mouros,10101160218,160218,18,22,55
Vilarelho,10101160219,160219,15,15,28
Vile,10101160220,160220,8,11,33
Melgaço,101011603,011603,951,1337,2499
Alvaredo,10101160301,160301,89,105,136
Castro Laboreiro,10101160302,160302,122,169,320
Chaviães,10101160303,160303,31,49,98
Cousso,10101160304,160304,29,68,97
Cristoval,10101160305,160305,26,40,169
Cubalhão,10101160306,160306,26,56,86
Fiães,10101160307,160307,38,71,130
Gave,10101160308,160308,38,54,84
Lamas de Mouro,10101160309,160309,14,39,63
Paços,10101160310,160310,34,51,135
Paderne,10101160311,160311,147,176,323
Parada do Monte,10101160312,160312,57,114,170
Penso,10101160313,160313,65,76,143
Prado,10101160314,160314,49,46,86
Remoães,10101160315,160315,24,25,27
Roussas,10101160316,160316,65,68,179
São Paio,10101160317,160317,69,98,163
Vila,10101160318,160318,28,32,90
Monção,101011604,011604,1958,2134,3401
Abedim,10101160401,160401,32,58,88
Anhões,10101160402,160402,42,56,74
Badim,10101160403,160403,30,33,54
Barbeita,10101160404,160404,95,110,212
Barroças e Taias,10101160405,160405,48,46,85
Bela,10101160406,160406,65,69,114
Cambeses,10101160407,160407,47,46,77
Ceivães,10101160408,160408,60,49,77
Lapela,10101160409,160409,23,30,26
Lara,10101160410,160410,48,56,81
Longos Vales,10101160411,160411,118,130,224
Lordelo,10101160412,160412,26,33,44
Luzio,10101160413,160413,30,43,57
Mazedo,10101160414,160414,90,56,193
Merufe,10101160415,160415,209,225,341
Messegães,10101160416,160416,19,28,46
Monção,10101160417,160417,18,8,34
Moreira,10101160418,160418,72,98,130
Parada,10101160419,160419,19,29,33
Pias,10101160420,160420,122,160,192
Pinheiros,10101160421,160421,51,42,60
Podame,10101160422,160422,50,44,80
Portela,10101160423,160423,44,47,101
Riba de Mouro,10101160424,160424,134,138,289
Sá,10101160425,160425,30,42,48
Sago,10101160426,160426,45,49,67
Segude,10101160427,160427,58,54,58
Tangil,10101160428,160428,160,173,290
Troporiz,10101160429,160429,16,20,30
Troviscoso,10101160430,160430,42,52,68
Trute,10101160431,160431,39,54,88
Valadares,10101160432,160432,33,30,40
Cortes,10101160433,160433,43,26,0
Paredes de Coura,101011605,011605,828,1128,1929
Agualonga,10101160501,160501,44,50,72
Bico,10101160502,160502,56,83,129
Castanheira,10101160503,160503,55,82,136
Cossourado,10101160504,160504,35,27,54
Coura,10101160505,160505,49,65,93
Cristelo,10101160506,160506,37,47,81
Cunha,10101160507,160507,77,94,134
Ferreira,10101160508,160508,36,72,114
