"Muni_ID","ID","Muni","1989","1999","2009"
1601,"1111601","Arcos de Valdevez","7","3","2"
1602,"1111602","Caminha","1","3","1"
1603,"1111603","Melgaço","10","0","0"
1604,"1111604","Monção","7","1","0"
1605,"1111605","Paredes de Coura","2","1","4"
1606,"1111606","Ponte da Barca","9","1","1"
1607,"1111607","Ponte de Lima","90","99","53"
1608,"1111608","Valença","7","2","1"
1609,"1111609","Viana do Castelo","42","22","7"
1610,"1111610","Vila Nova de Cerveira","6","0","3"
301,"1120301","Amares","57","75","33"
302,"1120302","Barcelos","82","32","20"
303,"1120303","Braga","61","47","29"
306,"1120306","Esposende","10","6","1"
310,"1120310","Terras de Bouro","5","4","6"
313,"1120313","Vila Verde","55","31","18"
307,"1130307","Fafe","15","2","2"
308,"1130308","Guimarães","90","22","11"
309,"1130309","Póvoa de Lanhoso","15","15","6"
1314,"1131314","Santo Tirso","87","29","13"
1318,"1131318","Trofa","0","5","2"
311,"1130311","Vieira do Minho","17","2","1"
312,"1130312","Vila Nova de Famalicão","102","23","8"
314,"1130314","Vizela","0","5","2"
107,"1140107","Espinho","0","2","0"
1304,"1141304","Gondomar","30","12","2"
1306,"1141306","Maia","26","5","2"
1308,"1141308","Matosinhos","4","3","2"
1312,"1141312","Porto","0","0","0"
1313,"1141313","Póvoa de Varzim","8","2","1"
1315,"1141315","Valongo","9","4","1"
1316,"1141316","Vila do Conde","27","3","1"
1317,"1141317","Vila Nova de Gaia","37","11","6"
1301,"1151301","Amarante","10","8","6"
1302,"1151302","Baião","20","26","9"
304,"1150304","Cabeceiras de Basto","8","6","2"
106,"1150106","Castelo de Paiva","5","3","4"
305,"1150305","Celorico de Basto","11","9","8"
1804,"1151804","Cinfães","39","17","8"
1303,"1151303","Felgueiras","48","20","8"
1305,"1151305","Lousada","20","6","2"
1307,"1151307","Marco de Canaveses","31","15","11"
1705,"1151705","Mondim de Basto","3","0","0"
1309,"1151309","Paços de Ferreira","8","3","1"
1310,"1151310","Paredes","28","13","4"
1311,"1151311","Penafiel","36","15","4"
1813,"1151813","Resende","56","41","16"
1709,"1151709","Ribeira de Pena","4","0","0"
104,"1160104","Arouca","18","19","11"
