"ID","ID_name"
"EF_12","Distance_dams"
"EF_13","Distance_ocean"
"EF_14","Distance_rivers"
"EF_15","Distance_urban"
"EF_16","MRB_roads"
"EF_17","X500m.Aspect_fine.tif"
"EF_18","X500m.Elevation.tif"
"EF_19","X500m.GDP_PT_2010.tif"
"EF_20","X500m.PopDensity.tif"
"EF_21","X500m.Slope_fine.tif"
"EF_22","X500m.SOC_PT.tif"
"EF_23","X500m.soil_pH_fine.tif"
"EF_24","X500m.SoilTexture_fine.tif"
"EF_25","X500m.MaxTemp_WarmMonth.tif"
"EF_26","X500m.Mean_diurnal_range.tif"
"EF_27","X500m.MinTemp_ColdMonth.tif"
"EF_28","X500m.Precipitation_ColdQuarter.tif"
"EF_29","X500m.Precipitation_DryMonth.tif"
"EF_30","X500m.Precipitation_DryQuarter.tif"
"EF_31","X500m.Precipitation_sum.tif"
"EF_32","X500m.Precipitation_WarmQuarter.tif"
"EF_33","X500m.Precipitation_WetMonth.tif"
"EF_34","X500m.Precipitation_WetQuarter.tif"
"EF_35","X500m.Srad_avg.tif"
"EF_36","X500m.Tavg_avg.tif"
"EF_37","X500m.Tmax_avg.tif"
"EF_38","X500m.Tmin_avg.tif"
