"Muni_ID","ID","Muni","X2009"
1601,"1111601","Arcos de Valdevez","1"
1602,"1111602","Caminha","0"
1603,"1111603","Melgaço","0"
1604,"1111604","Monção","0"
1605,"1111605","Paredes de Coura","0"
1606,"1111606","Ponte da Barca","0"
1607,"1111607","Ponte de Lima","2"
1608,"1111608","Valença","0"
1609,"1111609","Viana do Castelo","2"
1610,"1111610","Vila Nova de Cerveira","0"
301,"1120301","Amares","0"
302,"1120302","Barcelos","24"
303,"1120303","Braga","4"
306,"1120306","Esposende","187"
310,"1120310","Terras de Bouro","0"
313,"1120313","Vila Verde","3"
307,"1130307","Fafe","0"
308,"1130308","Guimarães","40"
309,"1130309","Póvoa de Lanhoso","0"
1314,"1131314","Santo Tirso","21"
1318,"1131318","Trofa","23"
311,"1130311","Vieira do Minho","0"
312,"1130312","Vila Nova de Famalicão","6"
314,"1130314","Vizela","0"
107,"1140107","Espinho","2"
1304,"1141304","Gondomar","85"
1306,"1141306","Maia","63"
1308,"1141308","Matosinhos","35"
1312,"1141312","Porto","2"
1313,"1141313","Póvoa de Varzim","311"
1315,"1141315","Valongo","2"
1316,"1141316","Vila do Conde","52"
1317,"1141317","Vila Nova de Gaia","107"
1301,"1151301","Amarante","6"
1302,"1151302","Baião","3"
304,"1150304","Cabeceiras de Basto","0"
106,"1150106","Castelo de Paiva","0"
305,"1150305","Celorico de Basto","0"
1804,"1151804","Cinfães","0"
1303,"1151303","Felgueiras","3"
1305,"1151305","Lousada","2"
1307,"1151307","Marco de Canaveses","1"
1705,"1151705","Mondim de Basto","0"
1309,"1151309","Paços de Ferreira","0"
1310,"1151310","Paredes","0"
1311,"1151311","Penafiel","9"
1813,"1151813","Resende","0"
1709,"1151709","Ribeira de Pena","0"
104,"1160104","Arouca","0"
113,"1160113","Oliveira de Azeméis","0"
109,"1160109","Santa Maria da Feira","1"
116,"1160116","São João da Madeira","0"
119,"1160119","Vale de Cambra","0"
1701,"1171701","Alijó","1"
1801,"1171801","Armamar","0"
403,"1170403","Carrazeda de Ansiães","0"
404,"1170404","Freixo de Espada à Cinta","0"
1805,"1171805","Lamego","7"
1704,"1171704","Mesão Frio","0"
1807,"1171807","Moimenta da Beira","0"
1812,"1171812","Penedono","0"
1708,"1171708","Peso da Régua","0"
1710,"1171710","Sabrosa","4"
1711,"1171711","Santa Marta de Penaguião","0"
1815,"1171815","São João da Pesqueira","1"
1818,"1171818","Sernancelhe","0"
1819,"1171819","Tabuaço","1"
1820,"1171820","Tarouca","0"
409,"1170409","Torre de Moncorvo","0"
410,"1170410","Vila Flor","2"
914,"1170914","Vila Nova de Foz Côa","0"
1714,"1171714","Vila Real","1"
401,"1180401","Alfândega da Fé","0"
1702,"1181702","Boticas","0"
402,"1180402","Bragança","2"
1703,"1181703","Chaves","1"
405,"1180405","Macedo de Cavaleiros","1"
406,"1180406","Miranda do Douro","0"
407,"1180407","Mirandela","2"
408,"1180408","Mogadouro","0"
1706,"1181706","Montalegre","0"
1707,"1181707","Murça","1"
1712,"1181712","Valpaços","1"
1713,"1181713","Vila Pouca de Aguiar","10"
411,"1180411","Vimioso","0"
412,"1180412","Vinhais","0"
101,"1610101","Águeda","2"
102,"1610102","Albergaria-a-Velha","3"
103,"1610103","Anadia","16"
105,"1610105","Aveiro","202"
108,"1610108","Estarreja","3"
110,"1610110","Ílhavo","11"
111,"1610111","Mealhada","8"
112,"1610112","Murtosa","37"
114,"1610114","Oliveira do Bairro","29"
115,"1610115","Ovar","8"
117,"1610117","Sever do Vouga","0"
118,"1610118","Vagos","41"
602,"1620602","Cantanhede","83"
603,"1620603","Coimbra","42"
604,"1620604","Condeixa-a-Nova","1"
605,"1620605","Figueira da Foz","10"
608,"1620608","Mira","57"
610,"1620610","Montemor-o-Velho","11"
613,"1620613","Penacova","0"
615,"1620615","Soure","19"
1004,"1631004","Batalha","10"
1009,"1631009","Leiria","71"
1010,"1631010","Marinha Grande","2"
1015,"1631015","Pombal","20"
1016,"1631016","Porto de Mós","5"
1002,"1641002","Alvaiázere","0"
1003,"1641003","Ansião","0"
601,"1640601","Arganil","0"
1007,"1641007","Castanheira de Pêra","0"
1008,"1641008","Figueiró dos Vinhos","0"
606,"1640606","Góis","0"
607,"1640607","Lousã","3"
609,"1640609","Miranda do Corvo","3"
611,"1640611","Oliveira do Hospital","0"
612,"1640612","Pampilhosa da Serra","0"
1013,"1641013","Pedrógão Grande","0"
614,"1640614","Penela","0"
616,"1640616","Tábua","2"
617,"1640617","Vila Nova de Poiares","1"
901,"1650901","Aguiar da Beira","1"
1802,"1651802","Carregal do Sal","0"
1803,"1651803","Castro Daire","0"
1806,"1651806","Mangualde","2"
1808,"1651808","Mortágua","0"
1809,"1651809","Nelas","2"
1810,"1651810","Oliveira de Frades","0"
1811,"1651811","Penalva do Castelo","0"
1814,"1651814","Santa Comba Dão","1"
1816,"1651816","São Pedro do Sul","7"
1817,"1651817","Sátão","4"
1821,"1651821","Tondela","20"
1822,"1651822","Vila Nova de Paiva","0"
1823,"1651823","Viseu","3"
1824,"1651824","Vouzela","0"
1413,"1661413","Mação","0"
506,"1660506","Oleiros","0"
508,"1660508","Proença-a-Nova","0"
509,"1660509","Sertã","0"
510,"1660510","Vila de Rei","0"
905,"1670905","Fornos de Algodres","0"
906,"1670906","Gouveia","17"
912,"1670912","Seia","2"
902,"1680902","Almeida","0"
903,"1680903","Celorico da Beira","1"
904,"1680904","Figueira de Castelo Rodrigo","0"
907,"1680907","Guarda","1"
908,"1680908","Manteigas","0"
909,"1680909","Mêda","0"
910,"1680910","Pinhel","1"
911,"1680911","Sabugal","0"
913,"1680913","Trancoso","0"
502,"1690502","Castelo Branco","1"
505,"1690505","Idanha-a-Nova","0"
507,"1690507","Penamacor","0"
511,"1690511","Vila Velha de Ródão","0"
501,"16A0501","Belmonte","0"
503,"16A0503","Covilhã","0"
504,"16A0504","Fundão","5"
1001,"16B1001","Alcobaça","112"
1101,"16B1101","Alenquer","1"
1102,"16B1102","Arruda dos Vinhos","0"
1005,"16B1005","Bombarral","221"
1104,"16B1104","Cadaval","4"
1006,"16B1006","Caldas da Rainha","26"
1108,"16B1108","Lourinhã","304"
1011,"16B1011","Nazaré","164"
1012,"16B1012","Óbidos","224"
1014,"16B1014","Peniche","212"
1112,"16B1112","Sobral de Monte Agraço","6"
1113,"16B1113","Torres Vedras","68"
1401,"16C1401","Abrantes","0"
1402,"16C1402","Alcanena","1"
1408,"16C1408","Constância","0"
1410,"16C1410","Entroncamento","0"
1411,"16C1411","Ferreira do Zêzere","2"
1421,"16C1421","Ourém","2"
1417,"16C1417","Sardoal","0"
1418,"16C1418","Tomar","3"
1419,"16C1419","Torres Novas","29"
1420,"16C1420","Vila Nova da Barquinha","0"
1115,"1711115","Amadora","0"
1105,"1711105","Cascais","0"
1106,"1711106","Lisboa","0"
1107,"1711107","Loures","455"
1109,"1711109","Mafra","140"
1116,"1711116","Odivelas","3"
1110,"1711110","Oeiras","0"
1111,"1711111","Sintra","339"
1114,"1711114","Vila Franca de Xira","4"
1502,"1721502","Alcochete","116"
1503,"1721503","Almada","181"
1504,"1721504","Barreiro","9"
1506,"1721506","Moita","53"
1507,"1721507","Montijo","73"
1508,"1721508","Palmela","154"
1510,"1721510","Seixal","1"
