Main_crop,Crop,Main_animals,Animals
Cereals,Wheat,,
Cereals,Rye,,
Cereals,Oat,,
Cereals,Barley,,
Cereals,Triticale,,
Cereals,Maize,,
Cereals,Rice,,
Pulses,Beans,,
Pulses,Chickpea,,
Pulses,Other_dried_pulses,,
Potato,Potato,,
Industry_crops,Tomato,,
Industry_crops,Sunflower,,
Fresh_fruits,Pear,,
Fresh_fruits,Apple,,
Fresh_fruits,Peach,,
Fresh_fruits,Cherry,,
Fresh_fruits,other_fresh,,
Citrus,Orange,,
Citrus,Tangerine,,
Citrus,Lemon,,
Dried_nuts,Almond,,
Dried_nuts,Nuuts,,
Dried_nuts,Chestnut,,
Olive_grove,Olive_grove,,
Vineyard,Vineyard,,
Forage,forage_roots,,
Forage,Annual_mixtures,,
Forage,forage_sorghum,,
Forage,forage_oat,,
Forage,forage_maize,,
Forage,other_forage,,
Horticulture,Horticulture_intensive,,
Horticulture,Horticulture_extensive,,
Pastures,Intensive_pasture,,
Pastures,Extensive_pasture,,
