Muni_ID,ID,Muni,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1601,1111601,Arcos de Valdevez,0,379.5,478,0,459,358,922,0,54.11,251.48,0,226.68
1602,1111602,Caminha,1066,0,929.14,1621.26,1652.86,1455,1484.4,50,66.68,794.99,50,474.7
1603,1111603,Melgaço,0,388,422.64,384.5,395,576,508.36,0,37.46,382.28,87.58,169.63
1604,1111604,Monção,0,686,892.92,802.1,808,902,930.72,0,62,767.48,245.78,187.82
1605,1111605,Paredes de Coura,0,110,350,427.64,420,580,482.84,0,45.18,437.395,86.04,156.14
1606,1111606,Ponte da Barca,0,285.5,404.36,512,647,292,590,0,10.43,111.1,0,126.78
1607,1111607,Ponte de Lima,0,805.5,1168.14,783.5,1124.18,1354.74,1229.28,0,189.48,735.92,249.74,1097.08
1608,1111608,Valença,0,757.5,805.36,739.74,567.56,796,491.48,0,72.56,642.44,176.34,264.96
1609,1111609,Viana do Castelo,3212,89,1894.22,3987.36,3801.16,4033.72,7737.34,0,365.68,2081.66,0,729.67
1610,1111610,Vila Nova de Cerveira,0,0,726.06,1375.42,1393,1062,1255.26,0,125.72,423.115,0,479.76
301,1120301,Amares,0,54.06,0,0,0,0,0,0,0,0,0,0
302,1120302,Barcelos,19836,7247.48,8633.055,6981.45,6704.77,8063,9092,5392,4960.38,9616,9088.5,11929
303,1120303,Braga,0,2293.58,1649.34,4257.32,6163.94,8034.24,0,0,1393.92,350.37,1310.62,3438.24
306,1120306,Esposende,3406,1521.6,1860,2185.15,2674,4360,3692.48,1300.86,164.2,25.56,0,951.24
310,1120310,Terras de Bouro,0,0,0,139,66,102,58,0,43.84,45.26,0,0
313,1120313,Vila Verde,0,0,0,104,338,481,182,567,455.76,898.64,540.26,519.74
307,1130307,Fafe,0,307.6,405,841,281,265.9,0,0,0,0,0,0
308,1130308,Guimarães,15626,8242.545,8952,7568.13,7381.49894,18221.64,19276.884,8219.16,3429.38,7082.54,909.65,1080.82
309,1130309,Póvoa de Lanhoso,0,40,105,63,295,44,239.16,12.94,363.62,698.23,0,316.58
1314,1131314,Santo Tirso,35159,18413,19718,15590.57,12107,9463.32,7579.42,1505.55,1620.42,334.02,0,127.72
1318,1131318,Trofa,0,0,0,0,0,0,0,0,0,0,0,0
311,1130311,Vieira do Minho,0,36,12,12,38,13,130.08,11.88,182.58,266.44,38.08,75
