main_crop,crop,N_AG,N_BG,source
cereals,Barley,0.0045,0.014,"APA, 2017; Table 5.45"
cereals,Rainfed_maize,0.0095,0.009,"APA, 2017; Table 5.45"
cereals,Irrigated_maize,0.0095,0.009,"APA, 2017; Table 5.45"
cereals,Oat,0.0056,0.008,"APA, 2017; Table 5.45"
cereals,Rice,0.0088,0.009,"APA, 2017; Table 5.45"
cereals,Rye,0.0085,0.011,"APA, 2017; Table 5.45"
cereals,Triticale,0.0085,0.009,"APA, 2017; Table 5.45"
cereals,Wheat,0.0057,0.009,"APA, 2017; Table 5.45"
citrus,Lemon,3.5,NA,"Dias, 2002"
citrus,Orange,3.5,NA,"Dias, 2002"
citrus,Other_citrus,3.5,NA,"Dias, 2002"
citrus,Tangerine,3.5,NA,"Dias, 2002"
dried_fruits,Almond,3.6,NA,"Dias, 2002"
dried_fruits,Chestnut,3.6,NA,"Dias, 2002"
dried_fruits,Locust,3.6,NA,"Dias, 2002"
dried_fruits,Nuuts,3.6,NA,"Dias, 2002"
dried_fruits,Other_dried_nuts,3.6,NA,"Dias, 2002"
fresh_fruits,Apple,4,NA,"APA, 2017; Table 5.45"
fresh_fruits,Cherry,4,NA,"APA, 2017; Table 5.45"
fresh_fruits,other_fresh,4,NA,"APA, 2017; Table 5.45"
fresh_fruits,Peach,4,NA,"APA, 2017; Table 5.45"
fresh_fruits,Pear,4,NA,"APA, 2017; Table 5.45"
industry,Sunflower,0.0103,0.008,"APA, 2017; Table 5.45"
industry,Tomato,0.019,0.009,"APA, 2017; Table 5.45"
olive_grove,Olive_grove,2.9,NA,"Dias, 2002"
potato,Irrigated_potato,0.0142,0.014,"APA, 2017; Table 5.45"
potato,Rainfed_potato,0.0142,0.014,"APA, 2017; Table 5.45"
vineyard,Vineyard,2.7,NA,"Dias, 2002"
pulses,Beans,0.1,0.008,"APA, 2017; Table 5.45"
pulses,Chickpea,0.008,0.008,"APA, 2017; Table 5.45; CdBPA, 2018"
pulses,Other_dried_pulses,0.008,0.008,"APA, 2017; Table 5.45"
Pastures,Intensive_pasture,0.025,0.016,"APA, 2017; Table 5.45; CdBPA, 2019"
Pastures,Extensive_pasture,0.015,0.012,"APA, 2017; Table 5.46"
