Year,N_narrative_PT,Comment,Rate_Spreading,Rate_discharge
X1987,-,-,0.01,0.01
X1988,-,-,0.01,0.01
X1989,-,-,0.01,0.01
X1990,-,-,0.01,0.01
X1991,-,-,0.01,0.01
X1992,-,-,0.01,0.01
X1993,-,-,0.01,0.01
X1994,-,-,0.01,0.01
X1995,-,-,0.01,0.01
X1996,-,-,0.01,0.01
X1997,Decreto-Lei n.º 235/97; Codigo de boas práticas 1997,PT implementation of the ND,0.01,0.01
X1998,-,-,0.03,0.03
X1999,-,-,0.06,0.06
X2000,-,-,0.01,0.01
X2001,-,-,0.01,0.01
X2002,-,-,0.01,0.01
X2003,-,-,0.01,0.01
X2004,-,-,0.01,0.01
X2005,-,-,0.01,0.01
X2006,-,-,0.01,0.01
X2007,-,-,0.01,0.01
X2008,-,-,0.01,0.01
X2009,DATA AVAILABLE,DATA AVAILABLE,NA,NA
X2010,Portaria n.º 83/2010,NVZs programme actions,0.01,0.01
X2011,-,-,0.03,0.03
X2012,-,-,0.06,0.06
X2013,-,-,0.01,0.01
X2014,-,-,0.01,0.01
X2015,-,-,0.01,0.01
X2016,-,-,0.01,0.01
X2017,-,-,0.01,0.01
